dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param,high_dim
yeast,lof,0,1.00E-06,FALSE,10,10,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.058790922,6.033518553,13.09230947,nu_0.1,FALSE
yeast,lof,0.01,1.00E-06,FALSE,10,10,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.058790922,6.033518553,13.09230947,nu_0.1,FALSE
yeast,lof,0.05,1.00E-06,FALSE,10,10,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.058790922,6.033518553,13.09230947,nu_0.1,FALSE
yeast,lof,0.1,1.00E-06,FALSE,10,10,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.058790922,6.033518553,13.09230947,nu_0.1,FALSE
yeast,lof,0,1.00E-06,FALSE,10,50,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.058790922,5.568422318,12.62721324,nu_0.1,FALSE
yeast,lof,0.01,1.00E-06,FALSE,10,50,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.058790922,5.568422318,12.62721324,nu_0.1,FALSE
yeast,lof,0.05,1.00E-06,FALSE,10,50,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.058790922,5.568422318,12.62721324,nu_0.1,FALSE
yeast,lof,0.1,1.00E-06,FALSE,10,50,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.058790922,5.568422318,12.62721324,nu_0.1,FALSE
yeast,lof,0,1.00E-06,FALSE,10,10,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.063183308,5.572615623,12.63579893,nu_0.5,FALSE
yeast,lof,0.01,1.00E-06,FALSE,10,10,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.063183308,5.572615623,12.63579893,nu_0.5,FALSE
yeast,lof,0.05,1.00E-06,FALSE,10,10,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.063183308,5.572615623,12.63579893,nu_0.5,FALSE
yeast,lof,0.1,1.00E-06,FALSE,10,10,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.063183308,5.572615623,12.63579893,nu_0.5,FALSE
yeast,lof,0,1.00E-06,FALSE,10,50,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.063183308,5.601899624,12.66508293,nu_0.5,FALSE
yeast,lof,0.01,1.00E-06,FALSE,10,50,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.063183308,5.601899624,12.66508293,nu_0.5,FALSE
yeast,lof,0.05,1.00E-06,FALSE,10,50,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.063183308,5.601899624,12.66508293,nu_0.5,FALSE
yeast,lof,0.1,1.00E-06,FALSE,10,50,0,0,0,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.063183308,5.601899624,12.66508293,nu_0.5,FALSE
yeast,lof,0,0.0001,TRUE,3,10,0,0,0,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.16479373,10.40453267,17.5693264,nu_0.1,FALSE
yeast,lof,0.01,0.0001,TRUE,3,10,0,0,0,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.16479373,10.40453267,17.5693264,nu_0.1,FALSE
yeast,lof,0.05,0.0001,TRUE,3,10,0,0,0,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.16479373,10.40453267,17.5693264,nu_0.1,FALSE
yeast,lof,0.1,0.0001,TRUE,3,10,0,0,0,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.16479373,10.40453267,17.5693264,nu_0.1,FALSE
