dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param,high_dim
yeast,isf,0,1.00E-06,FALSE,10,10,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.559298038,6.057183027,11.61648107,nu_0.1,FALSE
yeast,isf,0.01,1.00E-06,FALSE,10,10,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.559298038,6.057183027,11.61648107,nu_0.1,FALSE
yeast,isf,0.05,1.00E-06,FALSE,10,10,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.559298038,6.057183027,11.61648107,nu_0.1,FALSE
yeast,isf,0.1,1.00E-06,FALSE,10,10,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.559298038,6.057183027,11.61648107,nu_0.1,FALSE
yeast,isf,0,1.00E-06,FALSE,10,50,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.559298038,5.678072929,11.23737097,nu_0.1,FALSE
yeast,isf,0.01,1.00E-06,FALSE,10,50,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.559298038,5.678072929,11.23737097,nu_0.1,FALSE
yeast,isf,0.05,1.00E-06,FALSE,10,50,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.559298038,5.678072929,11.23737097,nu_0.1,FALSE
yeast,isf,0.1,1.00E-06,FALSE,10,50,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.559298038,5.678072929,11.23737097,nu_0.1,FALSE
yeast,isf,0,1.00E-06,FALSE,10,10,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.828024626,5.669419289,11.49744391,nu_0.5,FALSE
yeast,isf,0.01,1.00E-06,FALSE,10,10,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.828024626,5.669419289,11.49744391,nu_0.5,FALSE
yeast,isf,0.05,1.00E-06,FALSE,10,10,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.828024626,5.669419289,11.49744391,nu_0.5,FALSE
yeast,isf,0.1,1.00E-06,FALSE,10,10,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.828024626,5.669419289,11.49744391,nu_0.5,FALSE
yeast,isf,0,1.00E-06,FALSE,10,50,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.828024626,5.62816596,11.45619059,nu_0.5,FALSE
yeast,isf,0.01,1.00E-06,FALSE,10,50,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.828024626,5.62816596,11.45619059,nu_0.5,FALSE
yeast,isf,0.05,1.00E-06,FALSE,10,50,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.828024626,5.62816596,11.45619059,nu_0.5,FALSE
yeast,isf,0.1,1.00E-06,FALSE,10,50,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.828024626,5.62816596,11.45619059,nu_0.5,FALSE
yeast,isf,0,0.0001,TRUE,3,10,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.787243605,10.23532724,16.02257085,nu_0.1,FALSE
yeast,isf,0.01,0.0001,TRUE,3,10,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.787243605,10.23532724,16.02257085,nu_0.1,FALSE
yeast,isf,0.05,0.0001,TRUE,3,10,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.787243605,10.23532724,16.02257085,nu_0.1,FALSE
yeast,isf,0.1,0.0001,TRUE,3,10,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.787243605,10.23532724,16.02257085,nu_0.1,FALSE
yeast,isf,0,0.0001,TRUE,3,50,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.787243605,4.532744408,10.31998801,nu_0.1,FALSE
yeast,isf,0.01,0.0001,TRUE,3,50,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.787243605,4.532744408,10.31998801,nu_0.1,FALSE
yeast,isf,0.05,0.0001,TRUE,3,50,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.787243605,4.532744408,10.31998801,nu_0.1,FALSE
yeast,isf,0.1,0.0001,TRUE,3,50,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.787243605,4.532744408,10.31998801,nu_0.1,FALSE
yeast,isf,0,0.0001,TRUE,3,10,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.551668406,4.529356003,10.08102441,nu_0.5,FALSE
yeast,isf,0.01,0.0001,TRUE,3,10,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.551668406,4.529356003,10.08102441,nu_0.5,FALSE
yeast,isf,0.05,0.0001,TRUE,3,10,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.551668406,4.529356003,10.08102441,nu_0.5,FALSE
yeast,isf,0.1,0.0001,TRUE,3,10,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.551668406,4.529356003,10.08102441,nu_0.5,FALSE
yeast,isf,0,0.0001,TRUE,3,50,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.551668406,4.520673513,10.07234192,nu_0.5,FALSE
yeast,isf,0.01,0.0001,TRUE,3,50,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.551668406,4.520673513,10.07234192,nu_0.5,FALSE
yeast,isf,0.05,0.0001,TRUE,3,50,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.551668406,4.520673513,10.07234192,nu_0.5,FALSE
yeast,isf,0.1,0.0001,TRUE,3,50,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.551668406,4.520673513,10.07234192,nu_0.5,FALSE
yeast,isf,0,0.0001,TRUE,5,10,0,0,0,0.2972,0.4438,0.356,0.2972,0.4438,0.356,5.510542154,10.1552639,15.66580606,nu_0.1,FALSE
yeast,isf,0.01,0.0001,TRUE,5,10,0,0,0,0.2972,0.4438,0.356,0.2972,0.4438,0.356,5.510542154,10.1552639,15.66580606,nu_0.1,FALSE
yeast,isf,0.05,0.0001,TRUE,5,10,0,0,0,0.2972,0.4438,0.356,0.2972,0.4438,0.356,5.510542154,10.1552639,15.66580606,nu_0.1,FALSE
yeast,isf,0.1,0.0001,TRUE,5,10,0,0,0,0.2972,0.4438,0.356,0.2972,0.4438,0.356,5.510542154,10.1552639,15.66580606,nu_0.1,FALSE
yeast,isf,0,0.0001,TRUE,5,50,0,0,0,0.2972,0.4438,0.356,0.2972,0.4438,0.356,5.510542154,4.507318974,10.01786113,nu_0.1,FALSE
yeast,isf,0.01,0.0001,TRUE,5,50,0,0,0,0.2972,0.4438,0.356,0.2972,0.4438,0.356,5.510542154,4.507318974,10.01786113,nu_0.1,FALSE
